Type,Location,Area,Floors,Build_life,CO2,Building_Construction_Type
Residential,North America,94 to 465,1 to 6,60,194.2,Wood
Residential,North America,94 to 465,1 to 6,60,196.8,Wood
Commercial,North America,18581 to 46451,7 to 14,60,197.5,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,60,197.5,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,60,197.5,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,60,197.5,Wood-Hybrid
Commercial,Europe,Over 92903,More than 25,100,198.1,RC
Commercial,North America,9291 to 18580,1 to 6,50,199.0,Wood
Commercial,North America,Over 92903,More than 25,100,199.3,RC
Commercial,North America,930 to 2323,1 to 6,50,200.0,Wood
Residential,Europe,94 to 465,1 to 6,50,200.0,Wood
Residential,North America,94 to 465,1 to 6,60,200.0,Wood
Commercial,North America,Over 92903,More than 25,100,200.2,RC
Residential,North America,18581 to 46451,More than 25,50,201.0,RC
Commercial,North America,Over 92903,More than 25,100,202.9,RC
Commercial,Asia-Pacific,46452 to 92903,1 to 6,50,203.0,Wood
Commercial,North America,18581 to 46451,1 to 6,50,203.0,Wood
Residential,North America,94 to 465,1 to 6,60,204.7,Wood
Residential,North America,18581 to 46451,15 to 25,50,206.0,RC
Commercial,North America,9291 to 18580,7 to 14,40,206.4,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,206.8,Wood
Commercial,North America,18581 to 46451,15 to 25,50,207.0,RC
Commercial,North America,46452 to 92903,7 to 14,50,208.0,Wood-Hybrid
Commercial,Europe,Over 92903,More than 25,100,208.6,RC
Residential,North America,94 to 465,1 to 6,60,209.1,Wood
Commercial,North America,4646 to 9290,1 to 6,50,211.0,Wood
Commercial,North America,466 to 929,1 to 6,50,211.0,Wood
Residential,North America,94 to 465,1 to 6,60,211.3,Wood
Commercial,North America,Over 92903,More than 25,100,211.4,RC
Commercial,North America,18581 to 46451,1 to 6,50,213.0,Wood
Commercial,Europe,Over 92903,More than 25,100,213.0,RC
Commercial,Europe,Over 92903,More than 25,100,213.0,RC
Residential,North America,94 to 465,1 to 6,60,213.3,Wood
Residential,North America,94 to 465,1 to 6,60,215.0,Wood
Residential,North America,94 to 465,1 to 6,60,215.2,Wood
Commercial,Europe,Over 92903,More than 25,100,215.6,RC
Commercial,North America,4646 to 9290,1 to 6,60,216.1,Wood
Commercial,North America,4646 to 9290,1 to 6,60,216.1,Wood
Commercial,North America,2324 to 4645,1 to 6,50,220.0,Wood
Commercial,North America,9291 to 18580,7 to 14,50,221.0,Wood-Hybrid
Residential,Asia-Pacific,9291 to 18580,More than 25,100,221.5,RC
Residential,North America,94 to 465,1 to 6,60,222.2,Wood
Commercial,North America,930 to 2323,1 to 6,50,223.0,Wood
Commercial,North America,Over 92903,15 to 25,50,224.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,225.0,Wood-Hybrid
Commercial,North America,18581 to 46451,15 to 25,40,225.0,Wood-Hybrid
Commercial,North America,18581 to 46451,1 to 6,50,227.0,Wood
Commercial,North America,9291 to 18580,1 to 6,40,227.7,Wood
Commercial,North America,4646 to 9290,1 to 6,60,228.5,Wood
Commercial,North America,4646 to 9290,1 to 6,60,228.5,Wood
Commercial,North America,46452 to 92903,15 to 25,50,229.0,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,100,229.6,RC
Commercial,North America,Over 92903,More than 25,100,229.9,RC
Commercial,North America,4646 to 9290,1 to 6,50,230.0,Wood
Commercial,North America,18581 to 46451,1 to 6,50,231.0,Wood
Residential,Asia-Pacific,9291 to 18580,More than 25,100,231.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,232.0,Wood
Commercial,North America,46452 to 92903,15 to 25,50,235.0,Wood-Hybrid
Residential,Asia-Pacific,9291 to 18580,15 to 25,50,236.0,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,100,236.3,RC
Commercial,North America,Over 92903,More than 25,100,236.3,RC
Commercial,North America,18581 to 46451,1 to 6,50,237.0,Wood
Commercial,North America,18581 to 46451,7 to 14,50,240.0,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,100,240.7,RC
Commercial,North America,46452 to 92903,1 to 6,50,241.0,Wood
Commercial,Asia-Pacific,2324 to 4645,7 to 14,60,241.7,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,50,242.0,RC
Commercial,North America,Over 92903,More than 25,50,245.0,RC
Commercial,Europe,Over 92903,More than 25,100,245.5,RC
Commercial,Europe,Over 92903,More than 25,100,245.5,RC
Commercial,North America,4646 to 9290,1 to 6,50,247.0,RC
Commercial,North America,Over 92903,More than 25,100,247.1,RC
