Type,Location,Footprint,Tot_area,Floors,Build_life,CO2,Building_Construction_Type,Type_B,Location_B,Footprint_B,Tot_area_B,Floors_B,clear_Footprint,clear_floors,Clear_Area
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,153.0,3,0,4,2,8,2,47258.65,7.37,348296.2505
Commercial,North America,Over 92903,Over 1 million,More than 25,100,153.3,0,0,4,9,9,3,94347.79,25.36,2392659.9543999997
Commercial,North America,Over 92903,Over 1 million,More than 25,100,153.8,0,0,4,9,9,3,94364.86,25.37,2394036.4982000003
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,154.3,3,0,4,3,7,2,4921.01,7.38,36317.0538
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,154.4,3,0,4,2,8,2,47279.96,7.38,348926.1048
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,154.6,0,0,2,9,9,3,94392.19,25.37,2394729.8603000003
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,155.0,2,0,4,5,3,0,9905.15,1.25,12381.4375
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,155.2,3,0,4,2,8,2,47292.14,7.38,349015.99319999997
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",7 to 14,40,156.8,3,0,1,0,4,2,20166.97,7.39,149033.9083
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,157.0,2,0,4,3,7,0,4926.91,1.25,6158.6375
Residential,Europe,2324 to 4645,"25,001 to 50,000",7 to 14,100,157.0,3,3,2,1,5,2,2455.3,7.39,18144.667
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,159.2,3,0,4,0,4,2,20204.69,7.4,149514.706
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,159.2,3,0,4,0,4,2,20204.69,7.4,149514.706
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,159.2,3,0,4,0,4,2,20204.69,7.4,149514.706
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,160.0,3,0,4,0,4,2,20217.27,7.4,149607.798
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40,161.3,2,0,4,2,8,0,47384.98,1.26,59705.0748
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,162.5,2,3,4,8,1,0,130.24,1.26,164.10240000000002
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,163.1,2,3,4,8,1,0,130.39,1.26,164.29139999999998
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,165.6,2,3,4,8,1,0,131.04,1.26,165.1104
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,166.1,2,0,4,3,7,0,4946.77,1.27,6282.397900000001
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,60,166.7,2,3,2,8,1,0,131.32,1.27,166.7764
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,167.0,3,0,4,0,4,2,20327.3,7.43,151031.83899999998
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,167.8,2,3,4,8,1,0,131.6,1.27,167.132
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,168.0,3,0,4,2,8,2,47486.95,7.43,352828.03849999997
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,168.0,2,0,4,5,3,0,9970.76,1.27,12662.8652
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,168.4,0,0,2,9,9,3,94863.54,25.49,2418071.6345999995
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,100,168.4,2,0,4,1,5,0,2470.47,1.27,3137.4968999999996
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,168.6,2,3,4,8,1,0,131.81,1.27,167.39870000000002
Commercial,North America,Over 92903,Over 1 million,More than 25,100,169.0,0,0,4,9,9,3,94884.03,25.49,2418593.9247
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,169.4,0,0,2,9,9,3,94897.69,25.5,2419891.095
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,169.5,0,0,2,9,9,3,94901.11,25.5,2419978.305
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,170.0,2,3,2,8,1,0,132.17,1.27,167.8559
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,100,170.1,2,0,4,1,5,0,2472.73,1.27,3140.3671
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,170.2,2,3,4,8,1,0,132.22,1.27,167.9194
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,170.5,2,3,4,8,1,0,132.3,1.27,168.02100000000002
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,171.0,2,0,4,5,3,0,9985.9,1.27,12682.092999999999
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,171.0,0,0,4,0,4,3,20390.17,25.51,520153.2367
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,172.0,2,0,4,0,4,0,20405.89,1.28,26119.5392
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,173.0,3,0,4,0,4,2,20421.61,7.45,152140.9945
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,175.0,2,3,4,8,1,0,133.45,1.28,170.816
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,176.0,2,0,4,7,2,0,1003.28,1.28,1284.1984
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,176.0,3,0,4,2,8,2,47608.71,7.46,355160.9766
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,176.0,3,0,4,0,4,2,20468.76,7.46,152696.9496
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,176.9,2,3,4,8,1,0,133.94,1.29,172.7826
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,176.9,0,0,2,9,9,3,95153.86,25.56,2432132.6615999998
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,177.0,3,0,4,0,4,2,20484.48,7.47,153019.0656
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,177.0,2,0,4,0,4,0,20484.48,1.29,26424.9792
Commercial,North America,Over 92903,Over 1 million,More than 25,100,177.2,0,0,4,9,9,3,95164.11,25.56,2432394.6516
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,178.0,0,0,2,9,9,3,95191.43,25.57,2434044.8651
