Type,Location,Footprint,Tot_area,Floors,Build_life,CO2,Building_Construction_Type,Type_B,Location_B,Footprint_B,Tot_area_B,Floors_B,clear_Footprint,clear_floors,Clear_Area
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,421.0,0,0,1,0,4,0,24319.73,1.73,42073.1329
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,421.0,1,0,4,0,4,2,24319.73,8.41,204528.9293
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,422.0,1,0,4,3,7,2,5505.3,8.41,46299.573000000004
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,422.1,1,3,1,2,8,3,51354.32,27.57,1415838.6024
Commercial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,50,423.0,0,0,2,1,5,0,2809.17,1.74,4887.9558
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,50,424.0,1,3,1,2,8,3,51383.23,27.59,1417663.3157000002
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,424.0,0,0,4,1,5,0,2810.5,1.74,4890.2699999999995
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,425.0,0,0,4,5,3,0,11267.69,1.74,19605.780600000002
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,40,427.1,1,3,4,0,4,3,24415.61,27.61,674114.9921
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,428.0,1,0,4,2,8,3,51444.11,27.62,1420886.3182
Residential,North America,Over 92903,Over 1 million,More than 25,40,430.0,1,3,4,9,9,3,103798.66,27.64,2868994.9624
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,40,430.3,0,0,4,3,7,0,5523.42,1.75,9665.985
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,431.0,0,0,1,5,3,0,11297.97,1.75,19771.4475
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40,432.3,1,0,2,2,8,3,51509.56,27.66,1424754.4296
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",More than 25,50,433.0,1,0,3,2,8,3,51520.21,27.66,1425049.0086
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,435.0,0,0,4,5,3,0,11318.16,1.76,19919.9616
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,436.0,1,0,4,0,4,1,24555.5,18.54,455258.97
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40,436.3,1,3,4,0,4,1,24560.22,18.54,455346.4788
Residential,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,50,437.0,1,3,2,0,4,2,24571.22,8.47,208118.23340000003
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",15 to 25,40,437.3,1,0,3,2,8,1,51585.66,18.55,956913.9930000001
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,438.0,1,0,4,2,8,2,51596.31,8.47,437020.7457
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,439.3,1,0,1,9,9,3,104116.31,27.71,2885062.9501
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,440.0,0,0,4,5,3,0,11343.39,1.77,20077.8003
Residential,Europe,466 to 929,"5,001 to 10,000",1 to 6,40,441.7,0,3,2,4,6,0,527.03,1.77,932.8430999999999
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,442.0,1,0,1,9,9,3,104208.53,27.74,2890744.6221999996
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,60,442.1,1,0,2,0,4,2,24651.38,8.49,209290.21620000002
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",15 to 25,40,443.2,1,0,1,5,3,1,11359.54,18.6,211287.44400000005
Residential,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,444.0,0,3,4,7,2,0,1141.87,1.78,2032.5285999999999
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,445.0,0,0,4,1,5,0,2838.43,1.78,5052.4054
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40,445.8,1,0,2,5,3,2,11372.66,8.5,96667.61
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,446.0,1,0,4,0,4,2,24712.68,8.5,210057.78
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",7 to 14,60,447.0,1,3,1,3,7,2,5559.87,8.51,47314.4937
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,449.3,1,0,4,2,8,2,51768.3,8.51,440548.233
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,450.5,0,0,4,4,6,0,528.57,1.79,946.1403000000001
Commercial,Middle East,18581 to 46451,"200,001 to 500,000",15 to 25,50,453.0,1,0,3,0,4,1,24822.71,18.69,463936.4499
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40,454.6,1,0,1,9,9,2,104638.89,8.54,893616.1205999999
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,454.7,1,0,4,0,4,2,24849.43,8.54,212214.1322
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,60,455.6,1,0,2,5,3,2,11422.12,8.54,97544.9048
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,456.0,0,0,4,3,7,0,5579.51,1.8,10043.118
Residential,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,457.2,1,3,4,0,4,2,24888.73,8.55,212798.64150000003
Commercial,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,60,457.6,1,0,2,3,7,2,5583.01,8.55,47734.7355
Residential,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,459.0,1,3,4,0,4,2,24917.02,8.55,213040.521
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,459.3,0,0,4,5,3,0,11440.79,1.8,20593.422000000002
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40,459.5,1,0,1,2,8,1,51923.54,18.74,973047.1395999999
Commercial,Europe,9291 to 18580,"100,001 to 200,000",1 to 6,60,460.3,0,0,2,5,3,0,11445.83,1.81,20716.9523
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,60,460.7,1,0,2,5,3,2,11447.85,8.56,97993.596
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,461.5,0,0,4,5,3,0,11451.89,1.81,20727.9209
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,462.1,1,0,1,2,8,3,51963.11,27.9,1449770.7689999999
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",More than 25,100,463.0,1,3,1,5,3,3,11459.46,27.91,319833.52859999996
Residential,Europe,94 to 465,"1,001 to 5,000",7 to 14,60,463.8,1,3,2,8,1,2,207.68,8.57,1779.8176
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,464.0,0,0,4,5,3,0,11464.51,1.81,20750.7631
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,464.2,0,0,1,0,4,0,24998.75,1.81,45247.7375
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,466.7,1,0,4,2,8,2,52033.12,8.58,446444.1696
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,40,467.6,1,0,2,0,4,2,25052.2,8.59,215198.39800000002
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,470.7,1,0,1,9,9,3,105188.8,27.97,2942130.736
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,40,471.0,0,0,4,3,7,0,5612.25,1.83,10270.4175
Industrial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,60,471.3,0,2,2,1,5,0,2873.42,1.83,5258.3586000000005
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,472.5,1,3,1,0,4,3,25129.22,27.99,703366.8678
Residential,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40,477.7,1,3,4,2,8,1,52200.54,18.9,986590.2059999999
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,478.0,0,0,4,7,2,0,1159.45,1.84,2133.3880000000004
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,480.0,0,0,4,3,7,0,5631.9,1.84,10362.696
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,480.0,1,0,4,0,4,2,25247.1,8.63,217882.473
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,483.7,1,0,1,2,8,3,52291.86,28.08,1468355.4287999999
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,484.9,1,0,1,0,4,3,25324.12,28.09,711354.5308
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,485.0,0,0,4,7,2,0,1163.07,1.85,2151.6795
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,487.0,0,0,4,3,7,0,5647.18,1.85,10447.283000000001
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40,490.0,1,0,1,2,8,1,52387.74,19.01,995890.9374
Commercial,Europe,46452 to 92903,"500,001 to 1 million",15 to 25,50,493.4,1,0,2,2,8,1,52439.49,19.04,998447.8895999999
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,40,494.0,1,3,4,0,4,3,25467.16,28.16,717155.2256
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,497.9,1,0,1,9,9,3,106117.84,28.2,2992523.088
Commercial,Europe,4646 to 9290,"50,001 to 100,000",1 to 6,40,500.2,0,0,2,3,7,0,5675.99,1.88,10670.8612
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",7 to 14,40,501.3,1,3,1,3,7,2,5678.39,8.71,49458.776900000004
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,504.1,1,3,1,2,8,3,52602.34,28.25,1486016.105
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,40,505.9,1,3,1,1,5,2,2919.45,8.73,25486.7985
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,507.0,0,0,4,0,4,0,25671.5,1.89,48519.134999999995
Commercial,Africa,46452 to 92903,"500,001 to 1 million",7 to 14,50,508.0,1,0,0,2,8,2,52661.7,8.74,460263.258
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,509.0,0,0,4,3,7,0,5695.19,1.89,10763.909099999999
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,510.0,0,0,4,5,3,0,11696.64,1.9,22223.615999999998
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,515.0,0,0,4,7,2,0,1178.59,1.91,2251.1068999999998
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,516.0,0,0,4,5,3,0,11726.92,1.91,22398.4172
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,517.1,0,0,4,4,6,0,540.19,1.91,1031.7629000000002
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,517.5,0,3,1,0,4,0,25836.54,1.91,49347.7914
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,519.1,0,0,4,0,4,0,25861.69,1.91,49395.8279
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,40,519.5,1,0,2,0,4,2,25867.97,8.78,227120.77659999998
Commercial,North America,Over 92903,Over 1 million,More than 25,40,520.8,1,0,4,9,9,3,106900.0,28.38,3033822.0
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,521.2,0,3,1,0,4,0,25894.69,1.92,49717.8048
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,522.2,0,0,4,4,6,0,541.08,1.92,1038.8736000000001
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40,522.9,1,0,4,2,8,1,52888.48,19.3,1020747.6640000001
Residential,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,50,528.0,1,3,2,0,4,2,26001.58,8.82,229333.93560000003
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",15 to 25,60,528.5,1,3,1,1,5,1,2949.51,19.35,57073.018500000006
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,528.5,1,0,1,9,9,3,107163.0,28.45,3048787.35
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,529.0,0,0,4,3,7,0,5738.85,1.93,11075.9805
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,529.2,1,0,1,2,8,3,52984.36,28.45,1507405.042
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40,531.9,1,0,1,0,4,1,26062.88,19.38,505098.6144
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,532.0,0,0,4,4,6,0,542.79,1.94,1053.0125999999998
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,60,532.1,1,0,2,0,4,2,26066.02,8.83,230162.9566
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,60,532.1,1,0,2,0,4,2,26066.02,8.83,230162.9566
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,533.0,0,0,4,7,2,0,1187.89,1.94,2304.5066
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,533.0,1,0,4,2,8,1,53042.2,19.39,1028488.258
Commercial,Europe,18581 to 46451,"200,001 to 500,000",1 to 6,60,534.0,0,0,2,0,4,0,26095.89,1.94,50626.0266
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,50,535.0,1,0,1,2,8,2,53072.64,8.84,469162.1376
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,538.6,1,0,1,2,8,3,53127.43,28.53,1515725.5779000001
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40,540.0,1,3,4,0,4,1,26190.2,19.45,509399.39
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,542.0,0,0,4,4,6,0,544.53,1.96,1067.2787999999998
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,40,542.7,1,0,4,1,5,0,2968.4,1.96,5818.064
Commercial,Middle East,2324 to 4645,"25,001 to 50,000",1 to 6,50,544.0,0,0,3,1,5,0,2970.13,1.96,5821.4548
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40,544.6,1,0,1,5,3,2,11871.25,8.88,105416.70000000001
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,545.2,1,0,4,0,4,0,26271.93,1.96,51492.9828
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40,545.4,1,3,1,5,3,2,11875.29,8.88,105452.57520000002
Commercial,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,60,547.6,1,0,2,3,7,2,5779.44,8.89,51379.2216
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,549.3,1,0,1,2,8,3,53290.28,28.62,1525167.8136
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,549.5,0,0,4,4,6,0,545.84,1.97,1075.3048000000001
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,550.0,1,0,1,2,8,3,53300.94,28.62,1525472.9028
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40,550.7,1,3,1,5,3,2,11902.03,8.91,106047.08730000001
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,60,550.7,1,0,2,5,3,2,11902.03,8.91,106047.08730000001
Residential,Europe,94 to 465,"1,001 to 5,000",7 to 14,60,553.8,1,3,2,8,1,2,230.81,8.92,2058.8252
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40,557.8,1,0,2,5,3,2,11937.86,8.93,106605.0898
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,561.0,1,0,4,2,8,2,53468.35,8.94,478007.04899999994
Commercial,North America,Over 92903,Over 1 million,15 to 25,50,562.0,1,0,4,9,9,1,108307.21,19.64,2127153.6044
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,564.1,1,0,4,2,8,2,53515.54,8.96,479499.23840000003
Commercial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,40,566.9,0,0,2,1,5,0,3000.6,2.0,6001.2
Commercial,Middle East,Over 92903,Over 1 million,More than 25,40,569.7,1,0,3,9,9,3,108570.21,28.78,3124650.6438
Commercial,Middle East,9291 to 18580,"100,001 to 200,000",1 to 6,50,570.0,0,0,3,5,3,0,11999.43,2.01,24118.8543
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40,571.9,1,0,1,2,8,1,53634.25,19.73,1058203.7525
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,576.0,0,0,4,3,7,0,5841.43,2.02,11799.688600000001
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,577.0,0,0,4,3,7,0,5843.61,2.02,11804.0922
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,50,578.2,1,3,1,1,5,2,3015.63,9.01,27170.8263
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,578.6,1,0,1,2,8,3,53736.22,28.86,1550827.3092
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40,580.4,1,0,4,2,8,1,53763.62,19.8,1064519.676
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,581.1,1,0,1,0,4,3,26836.22,28.88,775030.0336
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,581.3,1,0,1,9,9,3,108966.42,28.88,3146950.2095999997
Residential,North America,Over 92903,Over 1 million,More than 25,40,582.1,1,3,4,9,9,3,108993.74,28.89,3148829.1486000004
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,583.0,0,0,4,7,2,0,1213.75,2.03,2463.9125
Commercial,Europe,4646 to 9290,"50,001 to 100,000",1 to 6,60,583.3,0,0,2,3,7,0,5857.36,2.03,11890.440799999998
Commercial,Asia-Pacific,930 to 2323,"10,001 to 25,000",7 to 14,40,583.6,1,0,1,7,2,2,1214.06,9.03,10962.9618
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,40,584.6,0,0,1,3,7,0,5860.2,2.03,11896.205999999998
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,587.2,1,0,4,2,8,3,53867.11,28.93,1558375.4923
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,587.6,1,3,4,2,8,3,53873.2,28.93,1558551.676
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40,589.1,1,0,1,9,9,2,109232.83,9.05,988557.1115000001
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40,590.4,1,0,1,9,9,2,109277.24,9.06,990051.7944000001
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,40,591.6,1,3,1,2,8,2,53934.08,9.06,488642.76480000006
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,591.7,1,0,1,9,9,3,109321.64,28.97,3167047.9107999997
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,592.2,0,0,4,5,3,0,12111.46,2.05,24828.492999999995
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,594.0,0,0,4,1,5,0,3036.65,2.05,6225.1325
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,594.0,1,0,4,0,4,2,27038.98,9.07,245243.5486
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",More than 25,50,597.0,1,0,3,2,8,3,54016.27,29.01,1567011.9927
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,598.0,0,0,4,0,4,0,27101.85,2.06,55829.811
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,598.7,1,3,1,2,8,3,54042.14,29.02,1568302.9028
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,601.0,0,0,4,5,3,0,12155.87,2.06,25041.092200000003
Commercial,Africa,2324 to 4645,"25,001 to 50,000",1 to 6,100,604.9,0,0,0,1,5,0,3051.15,2.07,6315.880499999999
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,607.2,1,0,1,0,4,3,27246.46,29.09,792599.5214
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,607.4,1,0,1,9,9,3,109857.88,29.09,3195765.7292
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,610.0,0,0,4,5,3,0,12201.29,2.08,25378.683200000003
Commercial,Asia-Pacific,Over 92903,Over 1 million,15 to 25,40,612.6,1,0,1,9,9,1,110035.49,20.09,2210612.9941000002
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,612.7,1,0,1,9,9,3,110038.91,29.14,3206533.8374
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,614.7,1,0,1,2,8,3,54285.66,29.15,1582426.989
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40,614.7,1,0,1,9,9,2,110107.22,9.15,1007481.0630000001
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",7 to 14,40,615.3,1,0,1,0,4,2,27373.78,9.15,250470.087
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,617.0,0,0,4,4,6,0,557.62,2.09,1165.4258
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,617.4,0,0,1,0,4,0,27406.79,2.09,57280.1911
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,621.0,0,0,4,3,7,0,5939.65,2.1,12473.265
Commercial,Middle East,Over 92903,Over 1 million,More than 25,60,623.1,1,0,3,9,9,3,110394.13,29.22,3225716.4786
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40,627.4,0,0,1,2,8,0,54478.95,2.11,114950.58449999998
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,50,629.5,1,3,1,1,5,2,3083.88,9.21,28402.534800000005
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40,629.8,1,0,1,2,8,1,54515.48,20.24,1103393.3152
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40,631.6,1,0,2,2,8,3,54542.88,29.29,1597560.9552
Residential,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,639.0,1,3,1,9,9,3,110937.2,29.35,3256006.8200000003
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,639.2,1,0,4,2,8,2,54658.55,9.25,505591.5875
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40,639.3,1,3,1,0,4,1,27751.02,20.32,563900.7264
Commercial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,50,643.0,0,0,2,1,5,0,3101.83,2.14,6637.916200000001
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,643.4,1,0,1,2,8,3,54722.47,29.39,1608293.3933
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,644.0,0,0,4,7,2,0,1245.3,2.14,2664.942
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,645.0,0,0,4,1,5,0,3104.5,2.14,6643.63
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40,646.4,1,0,2,2,8,3,54768.13,29.42,1611278.3846
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,40,647.4,0,0,4,4,6,0,562.93,2.15,1210.2994999999999
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,648.0,0,0,4,1,5,0,3108.49,2.15,6683.253499999999
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,651.0,0,0,4,3,7,0,6005.13,2.16,12971.080800000002
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,652.0,1,0,1,2,8,3,54853.36,29.46,1615979.9856
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,652.0,0,0,4,3,7,0,6007.31,2.16,12975.789600000002
Commercial,Middle East,Over 92903,Over 1 million,1 to 6,40,653.4,0,0,3,9,9,0,111429.04,2.16,240686.7264
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,655.0,1,3,4,0,4,3,27997.79,29.49,825654.8271
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,656.9,1,0,1,2,8,3,54927.94,29.5,1620374.23
Commercial,North America,94 to 465,"1,001 to 5,000",1 to 6,50,661.0,0,0,4,8,1,0,258.36,2.17,560.6412
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,661.0,1,0,4,0,4,2,28092.1,9.33,262099.29299999998
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",15 to 25,40,661.6,1,0,1,5,3,1,12461.68,20.52,255713.6736
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,662.0,0,0,4,5,3,0,12463.7,2.18,27170.866
Commercial,Europe,4646 to 9290,"50,001 to 100,000",1 to 6,30,664.1,1,0,2,3,7,0,6033.72,2.18,13153.509600000001
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,665.0,0,0,4,3,7,0,6035.69,2.18,13157.8042
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,667.0,1,0,1,2,8,3,55081.66,29.58,1629315.5028
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,667.4,1,0,1,2,8,3,55087.75,29.59,1630046.5225
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",More than 25,40,677.8,1,0,1,3,7,3,6063.62,29.67,179907.6054
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,692.2,1,3,4,2,8,3,55465.2,29.79,1652308.308
Commercial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,40,695.2,0,0,2,1,5,0,3171.28,2.24,7103.667200000001
Commercial,Europe,4646 to 9290,"50,001 to 100,000",More than 25,50,701.0,1,0,2,3,7,3,6114.26,29.86,182571.8036
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,40,701.9,1,0,4,0,4,3,28734.98,29.87,858313.8526
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,40,704.7,1,0,1,2,8,2,55655.45,9.5,528726.775
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40,715.1,0,0,1,2,8,0,55813.73,2.27,126697.1671
Commercial,North America,Over 92903,Over 1 million,15 to 25,40,718.0,1,0,4,9,9,1,113635.5,21.01,2387481.855
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40,719.0,1,0,2,5,3,2,12751.35,9.55,121775.39250000002
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,723.6,0,0,4,0,4,0,29076.06,2.29,66584.1774
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,40,724.0,0,0,1,3,7,0,6164.46,2.29,14116.6134
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,726.7,1,3,4,2,8,3,55990.28,30.07,1683627.7196
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,728.5,0,0,1,5,3,0,12799.29,2.3,29438.367
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,729.0,1,0,1,2,8,3,56025.29,30.09,1685800.9761
