Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,322,322.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,323,323.0,RC,95,5,0,0,15,85
Residential,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,328,328.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,328,328.0,Steel - Concrete,0,20,80,0,77,23
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,328,328.0,RC,95,5,0,0,15,85
Commercial,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,50,329,329.0,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,7 to 14,50,335,335.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,336,336.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,270.4,338.0,RC,95,5,0,0,15,85
Commercial,Middle East,9291 to 18580,"100,001 to 200,000",1 to 6,50,340,340.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,40,272.6,340.8,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,341,341.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,341,341.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,410,341.7,RC,95,5,0,0,15,85
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",15 to 25,50,342,342.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,343,343.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,344,344.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40,277.15,346.4,RC,95,5,0,0,15,85
Commercial,Middle East,9291 to 18580,"100,001 to 200,000",7 to 14,40,277.61,347.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,420,350.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,352,352.0,RC,95,5,0,0,15,85
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,60,422.53,352.1,RC,95,5,0,0,15,85
Commercial,Europe,46452 to 92903,"500,001 to 1 million",7 to 14,40,283.83,354.8,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,354.95,355.0,RC,95,5,0,0,15,85
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,355,355.0,Steel - Concrete,0,20,80,0,77,23
Residential,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40,284.02,355.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,356,356.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,356,356.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,430,358.3,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,359,359.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",1 to 6,40,287.36,359.2,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,7 to 14,50,361,361.0,RC,95,5,0,0,15,85
