Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,182,151.7,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,304.65,152.3,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,183,152.5,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,183,152.5,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,153,153.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,306.63,153.3,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,307.52,153.8,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,154.34,154.3,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,185.27,154.4,Wood-Hybrid,67,0,33,62,0,38
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,309.22,154.6,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,155,155.0,Wood,100,0,0,100,0,0
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,186.24,155.2,Wood-Hybrid,67,0,33,62,0,38
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",7 to 14,40,125.47,156.8,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,157,157.0,Wood,100,0,0,100,0,0
Residential,Europe,2324 to 4645,"25,001 to 50,000",7 to 14,100,314,157.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,191,159.2,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,191,159.2,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,191,159.2,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,192,160.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40,129.03,161.3,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,195,162.5,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,195.71,163.1,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,198.67,165.6,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,199.29,166.1,Wood,100,0,0,100,0,0
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,60,200,166.7,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,167,167.0,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,201.33,167.8,Wood,100,0,0,100,0,0
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,168,168.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,168,168.0,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,336.76,168.4,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,100,336.85,168.4,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,202.31,168.6,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,337.92,169.0,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,338.83,169.4,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,339.07,169.5,RC,95,5,0,0,15,85
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,170,170.0,Wood,100,0,0,100,0,0
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,100,340.29,170.1,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,204.29,170.2,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,204.55,170.5,Wood,100,0,0,100,0,0
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,171,171.0,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,171,171.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,172,172.0,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,173,173.0,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,210,175.0,Wood,100,0,0,100,0,0
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,176,176.0,Wood,100,0,0,100,0,0
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,176,176.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,176,176.0,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,212.31,176.9,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,353.89,176.9,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,177,177.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,177,177.0,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,354.42,177.2,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,355.95,178.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,178,178.0,Wood-Hybrid,67,0,33,62,0,38
Residential,Europe,93 or less,"1,000 or less",1 to 6,50,179.03,179.0,Wood,100,0,0,100,0,0
Commercial,North America,94 to 465,"1,001 to 5,000",1 to 6,50,181,181.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,50,181.18,181.2,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,218.13,181.8,Wood,100,0,0,100,0,0
Residential,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,184,184.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,222,185.0,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,222.5,185.4,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,50,185.89,185.9,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,372.07,186.0,RC,95,5,0,0,15,85
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,224.62,187.2,Wood,100,0,0,100,0,0
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,225,187.5,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,225.45,187.9,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,377.99,189.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,189,189.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,228.18,190.2,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,191,191.0,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,229.33,191.1,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,382.61,191.3,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,382.75,191.4,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,229.89,191.6,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,229.89,191.6,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,192,192.0,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,232,193.3,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,232,193.3,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,232.73,193.9,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,50,194,194.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,233,194.2,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,236.15,196.8,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,237,197.5,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,237,197.5,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,237,197.5,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,237,197.5,Wood-Hybrid,67,0,33,62,0,38
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,396.13,198.1,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,199,199.0,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,398.5,199.3,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,200,200.0,Wood,100,0,0,100,0,0
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,200,200.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,240,200.0,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,400.34,200.2,RC,95,5,0,0,15,85
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,201,201.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,405.79,202.9,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,50,203,203.0,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,203,203.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,245.63,204.7,Wood,100,0,0,100,0,0
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,206,206.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,40,165.08,206.4,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,248.13,206.8,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,207,207.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,208,208.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,417.13,208.6,RC,95,5,0,0,15,85
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,250.91,209.1,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,211,211.0,Wood,100,0,0,100,0,0
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,211,211.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,253.53,211.3,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,422.81,211.4,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,213,213.0,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,426.01,213.0,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,426.01,213.0,RC,95,5,0,0,15,85
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,256,213.3,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,258,215.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,258.18,215.2,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,431.26,215.6,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,259.35,216.1,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,259.35,216.1,Wood,100,0,0,100,0,0
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,220,220.0,Wood,100,0,0,100,0,0
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,50,221,221.0,Wood-Hybrid,67,0,33,62,0,38
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",More than 25,100,443,221.5,RC,95,5,0,0,15,85
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,266.67,222.2,Wood,100,0,0,100,0,0
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,223,223.0,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,15 to 25,50,224,224.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,225,225.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40,180.02,225.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,227,227.0,Wood,100,0,0,100,0,0
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,182.17,227.7,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,274.23,228.5,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,274.23,228.5,Wood,100,0,0,100,0,0
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,229,229.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,459.24,229.6,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,459.71,229.9,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,230,230.0,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,231,231.0,Wood,100,0,0,100,0,0
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",More than 25,100,462,231.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,232,232.0,Wood,100,0,0,100,0,0
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,235,235.0,Wood-Hybrid,67,0,33,62,0,38
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",15 to 25,50,236,236.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,472.66,236.3,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,472.66,236.3,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,237,237.0,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,240,240.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,481.45,240.7,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,50,241,241.0,Wood,100,0,0,100,0,0
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,290,241.7,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,50,242,242.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,50,245,245.0,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,491.04,245.5,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,491.04,245.5,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,247,247.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,494.23,247.1,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,495.58,247.8,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,248,248.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,501.51,250.8,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,251,251.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,252,252.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,252,252.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,252,252.0,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,253,253.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,254,254.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,254,254.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,255,255.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,255,255.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,256,256.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,7 to 14,50,256,256.0,Wood-Hybrid,67,0,33,62,0,38
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,50,257,257.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,257,257.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,515.1,257.6,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,258,258.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,258,258.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,258,258.0,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,516.61,258.3,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,50,259,259.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,259,259.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,259.57,259.6,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,260,260.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,260,260.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,261,261.0,Wood-Hybrid,67,0,33,62,0,38
Residential,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,50,261.34,261.3,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,262,262.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,264,264.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,40,212.04,265.1,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,530.19,265.1,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,212.57,265.7,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,50,266,266.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,266,266.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,320,266.7,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,40,215.95,269.9,Wood-Hybrid,67,0,33,62,0,38
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,217.14,271.4,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,272,272.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,273,273.0,Wood-Hybrid,67,0,33,62,0,38
Residential,Europe,93 or less,"1,000 or less",1 to 6,50,273.15,273.2,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,274,274.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,276,276.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,277,277.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,225.27,281.6,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,50,283,283.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,285,285.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,50,285,285.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,570.78,285.4,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,570.78,285.4,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,50,286,286.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,286,286.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,286,286.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,289,289.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,Africa,Over 92903,Over 1 million,More than 25,50,292,292.0,RC,95,5,0,0,15,85
Residential,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,292,292.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,233.81,292.3,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,234.87,293.6,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,294,294.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,294,294.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",7 to 14,50,300,300.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,242.18,302.7,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,242.93,303.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,304,304.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,244.25,305.3,Wood-Hybrid,67,0,33,62,0,38
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,245.4,306.8,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,40,246.64,308.3,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,309,309.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,309,309.0,RC,95,5,0,0,15,85
Commercial,Europe,9291 to 18580,"100,001 to 200,000",1 to 6,50,309,309.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,50,310,310.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,310,310.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,248.17,310.2,RC,95,5,0,0,15,85
Residential,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,250.26,312.8,RC,95,5,0,0,15,85
Commercial,Middle East,18581 to 46451,"200,001 to 500,000",1 to 6,50,313,313.0,RC,95,5,0,0,15,85
Residential,Europe,2324 to 4645,"25,001 to 50,000",7 to 14,50,314,314.0,RC,95,5,0,0,15,85
Residential,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,316,316.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",15 to 25,50,317,317.0,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,317,317.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,7 to 14,40,254.88,318.6,RC,95,5,0,0,15,85
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,60,383.5,319.6,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,50,321,321.0,RC,95,5,0,0,15,85
Residential,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,50,321.79,321.8,RC,95,5,0,0,15,85
